"","Region","Dataset","TSid","Archive","Category","Proxy","Season","Interp","Direction","PublicationDOI","SourceURL","AgeRange","Resolution","AgeControlN","AgeControlMax","Lat","Lon"
"82","EAS","Shizi.Yang.2019","WEBd4e40e14","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1177/0959683619831433","https://doi.org/10.1177/0959683619831433","9.3 - 0",30,"Not Available","Not Available",29.68,107.29
"83","EAS","SihailongwanMaar.Stebich.2015","LPD6fdee25b","LakeSediment","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1016/j.quascirev.2015.07.021","http://dx.doi.org/10.1594/PANGAEA.852703","12 - 0.1",61,"28","1128",42.28,126.6
"84","EAS","TianchiLake.Sun.2011","lcRdGds9oOLVuJWyouN","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Sun, H., Zhou, A., Zhang, X. and Chen, F., 2011. Fir trees disappeared 500 years ago in the Liupan Mountains on the southwestern Loess Plateau, China. Review of Palaeobotany and Palynology, 166(1-2), pp.69-75.","https://doi.pangaea.de/10.1594/PANGAEA.930512","5.9 - 0",80,"19","730",35.26,106.31
"85","EAS","Wangjiadianprofile.Cao.2010","lcRpkrKA2Q4Uru9VFwq","Paleosol","Pollen (calibrated)","pollen","Annual","P","positive","Cao, X., Xu, Q., Jing, Z., Tang, J., Li, Y. and Tian, F., 2010. Holocene climate change and human impacts implied from the pollen records in Anyang, central China. Quaternary International, 227(1), pp.3-9.","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",150,"6","3730",36.16,114.67
"86","EAS","WuyaCave.Tan.2020","WEB-25055-627a-46a8-868d-f4a69","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1029/2020GL090273","http://paleodata.ieecas.cn/FrmDataInfo_EN.aspx?id=d8871206-86a6-4ed6-96b4-73512eb4716c","11.2 - 0",3,"Not Available","Not Available",33.82,105.43
"87","EAS","Xianglongcave.Tan.2018","S2LRljclseoP6S","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1016/j.epsl.2017.11.044","http://dx.doi.org/10.17864/1947.256","6.7 - 0.7",8,"55","377",33,106.33
"88","EAS","Xiaobailongcave.Cai.2015","S2LR3sFUdg8g4z","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1073/pnas.1424035112","http://dx.doi.org/10.17864/1947.256","12 - 5.3",30,"1","2520",24.2,103.36
"89","EAS","Xinyacave.T..2007","S2LR4OJ4DeyWph","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1007/s11430-007-0059-z","http://dx.doi.org/10.17864/1947.256","3.9 - 0",3,"14","2935",30.75,109.47
"90","EAS","Yabitsuyachi.Morita.1987","lcRnpyqRGt7A1AQgJZl","Peat","Pollen (calibrated)","pollen","Annual","P","positive","Morita, Y., 1987. The vegetational history of the subalpine zone in northeast Japan: III. The Hakkoda Mountains. Japanese Journal of Ecology, 37(2), pp.107-117 (in Japanese).","https://doi.pangaea.de/10.1594/PANGAEA.930512","8.6 - 0.5",290,"5","2630",40.62,140.9
"91","EAS","Yakumo.Leipe.2013","LPD016736e6","Peat","Pollen (calibrated)","pollen","Summer+","P","positive","https://doi.org/10.1016/j.quaint.2012.07.014","https://doi.org/10.1594/PANGAEA.785354","5.5 - 0",100,"Not Available","Not Available",42.28,140.26
"92","EAS","Yakumo.Leipe.2013","LPD55404d27","Peat","Pollen (calibrated)","pollen","Winter+","P","positive","https://doi.org/10.1016/j.quaint.2012.07.014","https://doi.org/10.1594/PANGAEA.785354","5.5 - 0",100,"Not Available","Not Available",42.28,140.26
"93","EAS","Yakumo.Leipe.2013","LPD72217804","Peat","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1016/j.quaint.2012.07.014","https://doi.org/10.1594/PANGAEA.785354","5.5 - 0",100,"Not Available","Not Available",42.28,140.26
"94","EAS","Yamencave.Yang.2010","S2LRaRE1m5yKLj","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1007/s11430-010-0025-z","http://dx.doi.org/10.17864/1947.256","12 - 7.3",5,"19","1619",25.48,107.9
"95","EAS","Zhuliupingcave.Huang.2016","S2LRonoRI4uIVU","Speleothem","Speleothem (δ18O)","d18O","Summer","P","negative","https://doi.org/10.1016/j.yqres.2016.05.001","http://dx.doi.org/10.17864/1947.256","12 - 4.6",9,"15","918.767093169999",26.02,104.1
"96","EAS","Zoige.Zhao.2011","WEB-77217-351b-45b8-a4c9-8742e","LakeSediment","Other (not calibrated)","bulk density","Annual","P-E","negative","https://doi.org/10.1016/j.quascirev.2011.02.006","https://doi.org/10.1594/PANGAEA.890540","10 - 0",16,"7","2485",33.45,102.63
"97","EAU","Breadalbane.Dodson.1986","OLS_RnZixdO7vMV","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",-34.78,149.48
"98","EAU","SwallowLagoon.Barr.2019","WEB-c74a1-de1f-477c-becc-15b90","LakeSediment","Other (calibrated)","d13Cwax","Annual","P","positive","https://doi.org/10.1038/s41598-019-38626-3","https://figshare.com/s/b4b5431fd9577afd95ef","7.7 - 0",22,"18","1326",-27.5,153.45
"99","ECA","BaaharNuurLake.Huang.2009","lcRDlSFQ3FGujgZJ3LN","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Huang, C.Q., Feng, Z.D., Ma, Y.Z., Guo, L.L. and Wang, W., 2009. Holocene palaeoenvironment changes recorded by pollen of Baahar Nuur Lake. Journal of Lanzhou University (Natural Sciences), 45(1), pp.7-12. (in Chinese).","https://doi.pangaea.de/10.1594/PANGAEA.930512","5.7 - 0",60,"5","2970",39.32,109.27
"100","ECA","Balukcave.Liu.2019","S2LRqArbF2JHFw","Speleothem","Speleothem (δ18O)","d18O","Annual","P","negative","https://doi.org/10.1029/2018JD029699","http://dx.doi.org/10.17864/1947.256","8.4 - 2.7",23,"15","745",42.43,84.73
"101","ECA","Bosten.Chen.2008","LPDf7422476","LakeSediment","Other (not calibrated)","hybrid","Annual","P-E","positive","https://doi.org/10.1016/j.quascirev.2007.10.017","https://doi.org/10.25921/bnxb-1n90","11 - 0",50,"Not Available","Not Available",42,87.02
"102","ECA","DaQaidam.Qi.1981","OLS_RnNx75wT6Qd","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",38,95.2
"103","ECA","Delingha.Yang.2021","WEBe297c3e8","Wood","Other (calibrated)","d18O","Annual","P","positive","https://doi.org/10..1073/pnas.2102007118","https://www.ncei.noaa.gov/access/paleo-search/study/33654","6.6 - 0",5,"Layer Counting","Not Available",37.48,97.78
"104","ECA","JingboLake.Li.2011","lcRS3drKNxjECOBHubn","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Li, C., Wu, Y. and Hou, X., 2011. Holocene vegetation and climate in Northeast China revealed from Jingbo Lake sediment. Quaternary International, 229(1-2), pp.67-73.","https://doi.pangaea.de/10.1594/PANGAEA.930512","9.5 - 0",40,"7","2990",39.5,109.5
"105","ECA","Kesangcave.Cheng.2016","S2LRPxXg9IPqUc","Speleothem","Speleothem (δ13C)","d13C","Annual","P-E","negative","https://doi.org/10.1038/srep36975","http://dx.doi.org/10.17864/1947.256","9.9 - 0",30,"40","1318",42.87,81.75
"106","ECA","LS06MIBO","LS06MIBO10a","LakeSediment","Shoreline (Lake Level)","d18O","Annual","P-E","negative","https://doi.org/10.1016/j.quaint.2006.02.014","https://doi.org/10.5194/essd-12-2261-2020","8.2 - 0.1",60,"5","2659",42.02,87.08
"107","ECA","LS13LUBA","LS13LUBA01a","LakeSediment","Lake Sediment (δ18O)","d18O","Annual","P-E","negative","https://doi.org/10.1007/s12665-012-1899-1","https://doi.org/10.5194/essd-12-2261-2020","8.7 - 0.4",105,"10","1536",43.64,92.81
"108","ECA","LS14YAHA","LS14YAHA02a","LakeSediment","Lake Sediment (δ18O)","d18O","Annual","P-E","negative","https://doi.org/10.1016/j.quascirev.2014.04.030","https://doi.org/10.5194/essd-12-2261-2020","8.8 - 0.1",94,"6","3130",38.3,97.58
"109","ECA","Qinghai.Ji.2005","WEB-85b98-f377-4cb2-a58b-dc9c3","LakeSediment","Other (not calibrated)","sediment","Annual","P-E","positive","https://doi.org/10.1016/j.epsl.2005.02.025","https://www.ncei.noaa.gov/access/paleo-search/study/8643","12 - 0",31,"5","3133",37.06,100.3
"110","ECA","Sonk11D.Lauterbach.2014","LPD343ffe05","LakeSediment","Leaf Wax (δD)","dDwax","Summer","P-E","negative","https://doi.org/10.1177/0959683614534741","https://doi.org/10.1594/PANGAEA.834958","6 - 0",62,"Not Available","Not Available",41.79,75.2
"111","ECA","Wenquanwetland.Li.2020","lcR13jshNz5dqXWSsRh","Peat","Pollen (calibrated)","pollen","Annual","P","positive","Li, J. and Wang, N., 2020. Holocene grassland fire dynamics and forcing factors in continental interior of China. Geophysical Research Letters, 47(13), p.e2020GL088049.","https://doi.pangaea.de/10.1594/PANGAEA.930512","10.3 - 0",120,"6","3470",44.97,81.03
"112","ECA","Zhuyeze.Chen.2006","GHab77d673","LakeSediment","Pollen (not calibrated)","pollen","Summer","P-E","positive","https://doi.org/10.1191/0959683606hl951rp","Not Available","11.6 - 0",10,"Not Available","Not Available",39.01,103.34
"113","ECA","Zhuyeze.Chen.2006","GHb76a109a","LakeSediment","Pollen (not calibrated)","pollen","Summer","P-E","positive","https://doi.org/10.1191/0959683606hl951rp","Not Available","11.6 - 0",10,"Not Available","Not Available",39.01,103.34
"114","EEU","AralSea.Chen.2008","LPD053400dbb","LakeSediment","Other (not calibrated)","hybrid","Annual","P-E","positive","https://doi.org/10.1016/j.quascirev.2007.10.017","https://doi.org/10.25921/bnxb-1n90","11 - 0",50,"Not Available","Not Available",45,60
"115","EEU","Gur.Mokhova.2009","lcRGzeoFV49AbtHJxKb","Peat","Pollen (calibrated)","pollen","Annual","P","positive","Mokhova, L., Tarasov, P., Bazarova, V. and Klimin, M., 2009. Quantitative biome reconstruction using modern and late Quaternary pollen data from the southern part of the Russian Far East. Quaternary Science Reviews, 28(25-26), pp.2913-2926.","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",190,"8","2600",53.03,51.84
"116","EEU","Novoalexpeatland.Novenko.2016","lcRM94MG6etHseLCjV6","Peat","Pollen (calibrated)","pollen","Annual","P","positive","Novenko, E.Y., Tsyganov, A.N., Volkova, E.M., Kupriyanov, D.A., Mironenko, I.V., Babeshko, K.V., Utkina, A.S., Popov, V. and Mazei, Y.A., 2016. Mid-and Late Holocene vegetation dynamics and fire history in the boreal forest of European Russia: A case study from Meshchera Lowlands. Palaeogeography, Palaeoclimatology, Palaeoecology, 459, pp.570-584.","https://doi.pangaea.de/10.1594/PANGAEA.930512","8.2 - 0",110,"7","2380",55.12,41.04
"117","ENA","BeaverhouseLake.Rivers.1999","lcROtMDEQsOa6CKzEBo","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1139/b76-194","https://doi.pangaea.de/10.1594/PANGAEA.930512","6.2 - 0",100,"7","1640",46.15,-85.49
"118","ENA","BeaverLake.Calcote.2003","lcRhapwgU8yMeacBLgK","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1191/0959683603hl608rp","https://doi.pangaea.de/10.1594/PANGAEA.930512","5.7 - 0",90,"4","2410",44.92,-88.16
"119","ENA","BensonPond.Oswald.2018","lcRyuLsI0devWnXL9UK","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1111/jbi.13407","https://doi.pangaea.de/10.1594/PANGAEA.930512","11.9 - 0",200,"9","2390",42.38,-73.09
"120","ENA","BerryPond.Oswald.2018","lcRmoUYX9CAfAdUW9Re","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1016/0033-5894(79)90033-4","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",50,"9","2390",42.62,-71.09
"121","ENA","BerryPond.Whitehead.1979","lcRFk9bWYJHqyCtFNx8","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1016/0033-5894(79)90033-4","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0.1",245,"11","2560",42.5,-73.32
"122","ENA","BlackGumSwamp.Foster.1993","lcRLcJzCjoqgEKwHqBs","Swamp","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.2307/1940468","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",200,"8","3680",42.54,-72.18
"123","ENA","BloodPond.Oswald.2018","lcRFOyuRIeyddE3MuQ9","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1111/jbi.13407","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",100,"12","1580",42.08,-71.96
"124","ENA","Buckeye.Springer.2008","NAm2kHydro096","Speleothem","Speleothem (other)","Sr/Ca","Annual","P-E","negative","https://doi.org/10.1029/2008GL034971","https://www.ncei.noaa.gov/access/paleo-search/study/8640","6.9 - 0",34,"Not Available","Not Available",37.98,-80.4
"125","ENA","BuckLake.author.1111","lcRlOmh5hio8SI6zqLN","Lake","Pollen (calibrated)","pollen","Annual","P","positive","noPubOnRecord","https://doi.pangaea.de/10.1594/PANGAEA.930512","7.7 - 0",110,"5","3020",46.52,-86.35
"126","ENA","BurdenLake.Gaudreau.1986","lcRi9rpgU3KNzoGhTeP","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Gaudreau, D.C., 1986. Late-Quaternary vegetational history of the northeast: paleoecological implications of topographic patterns in pollen distributions. Doctoral dissertation. Yale University, New Haven, Connecticut, USA.","https://doi.pangaea.de/10.1594/PANGAEA.930512","9.8 - 0.1",280,"11","1470",42.6,-73.56
"127","ENA","Cahaba.Delcourt.1983","OLS_RhSooYiv8NM","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",33.5,-86.53
"128","ENA","CahabaPond.Delcourt.1983","lcRVRnl9YOspeS2qWJq","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.2307/1937210","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",120,"8","3390",33.5,-86.53
"129","ENA","Camp11Lake.Brubaker.1975","lcRYUf2GzuKWaJw7Cls","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1016/0033-5894(75)90013-7","https://doi.pangaea.de/10.1594/PANGAEA.930512","11.6 - 0",285,"10","2240",46.67,-88.02
"130","ENA","CanyonLake.Davis.1991","lcRPBnamW5NHR8VPMKn","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.2307/2845547","https://doi.pangaea.de/10.1594/PANGAEA.930512","11.7 - 0",100,"8","2340",46.83,-87.92
"131","ENA","CapitolaLake.Calcote.2003","lcRH47ExCxsXc3fhZVO","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1191/0959683603hl608rp","https://doi.pangaea.de/10.1594/PANGAEA.930512","10 - 0",225,"5","3080",45.52,-89.56
"132","ENA","ChesapeakeBayMD992209.Willard.2005","lcR8NsSZHAiFlBflvWP","Ocean","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1016/j.gloplacha.2004.11.017","https://doi.pangaea.de/10.1594/PANGAEA.930512","7.3 - 0.1",20,"18","2160",38.89,-76.39
"133","ENA","ClearLake.Bailey.1972","lcRm2HAyL9Ow8Vn9ldV","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1016/0033-5894(92)90074-S","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",265,"5","3370",41.64,-86.54
"134","ENA","Crooked.Engels.2012","NAm2kHydro208","LakeSediment","Shoreline (Lake Level)","chironomid","Annual","P-E","negative","https://doi.org/10.1007/s10933-012-9638-x","https://www.ncei.noaa.gov/access/paleo-search/study/23072","8 - 0",143,"8","2145",41.53,-70.38
"135","ENA","DavisPond.Newby.2011","pdRQCNa1fNSbgmaYC9D","LakeSediment","Shoreline (Lake Level)","lakeLevel","Annual","P-E","positive","Newby et al. (2011)","https://www.ncdc.noaa.gov/paleo/study/28771","12 - 0",50,"Shoreline Dates","Not Available",42.14,-73.41
"136","ENA","Deep.Marsicek.2013","NAm2kHydro215","LakeSediment","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1016/j.quascirev.2013.09.001","https://www.ncei.noaa.gov/access/paleo-search/study/23072","11 - 0",50,"Not Available","Not Available",41.62,-70.58
"137","ENA","DeepFalmouthPond.Oswald.2018","lcRlZG93oUnsBEDKSaM","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1111/jbi.13407","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",60,"14","1750",41.56,-70.64
"138","ENA","DeepPondFalmouth.Marsicek.2013","pdRkllG1u6H84pPNEn8","LakeSediment","Shoreline (Lake Level)","lakeLevel","Annual","P-E","positive","Marsicek et al., 2013","https://www.ncdc.noaa.gov/paleo/study/28771","12 - 0",50,"Shoreline Dates","Not Available",41.56,-70.64
"139","ENA","DeepTauntonPond.Oswald.2018","lcRgG0nqmKpMbG6TnGY","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1111/jbi.13407","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0.3",265,"17","2010",41.88,-71.01
"140","ENA","DeSotocaverns.Aharon.2013","S2LRaRacqzp90y","Speleothem","Speleothem (δ18O)","d18O","Annual","P","negative","https://doi.org/10.1029/2012gm001203","http://dx.doi.org/10.17864/1947.256","4.2 - 0",2,"Not Available","Not Available",33.37,-86.37
"141","ENA","DevilsBathtub.Clark.1996","lcRDYi20GlO0AonbO2J","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.2307/2265709","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 1.7",250,"9","2350",43.02,-77.57
"142","ENA","DiversLake.Miller.2003","lcRkBG2IjDkwtqKcx6y","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Miller, N.G. and Futyma, R.P., 2003. Extending the paleobotanical records at the Hiscock Site, New York: Correlations among stratigraphic pollen assemblages from nearby lake and wetland basins. In: The Hiscock Site: Late Pleistocene and Holocene Paleoecology and Archaeology of Western New York State (pp.43-62). Bulletin of the Buffalo Society of Natural Sciences 37.","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",120,"9","3000",43.04,-78.4
"143","ENA","Duck.Winkler.1982","OLS_RSzZCo2C7Xj","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",41.93,-70
"144","ENA","FoundLake.McAndrews.1981","lcRSMVjlC246WXbuLnK","Lake","Pollen (calibrated)","pollen","Annual","P","positive","McAndrews, J.H., 1981. Late Quaternary climate of Ontario: temperature trends from the fossil pollen record. In: Quaternary paleoclimate ed. by W.C. Mahaney (pp.319-333). Geo Abstracts, Ltd., University of East Anglia, Norwich, United Kingdom.","https://doi.pangaea.de/10.1594/PANGAEA.930512","11.8 - 0",180,"7","2860",45.55,-78.64
